File Name,Markup,Does it work?,Function,Notes/Observations,Video Recording
Bht_Neutral_to_Sad,"<break strength=""weak""/><mark name=""cmd:playback-mood,data:{+mood+:2,+intensity+:2}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Self+,+lifetime+:0,+category+:+Bht_Neutral_to_Sad_to_Neutral+,+behaviour+:+Bht_Neutral_to_Sad+,+Track+:++}""/>I'm <usel variant=""1"" genre=""intimate"">so sorry</usel> to hear<usel variant=""0"" genre=""intimate""><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_None+,+lifetime+:0,+category+:+Bht_Neutral_to_Sad_to_Neutral+,+behaviour+:+Bht_Sad_to_Neutral+,+Track+:++}""/>that.<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_None+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/><mark name=""cmd:playback-mood,data:{+mood+:0,+intensity+:0}""/></usel>",,I'm so sorry to hear that.,,
Bht_Sad_to_Neutral,"<usel variant=""1"" genre=""motivational""><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Medium+,+lifetime+:0,+category+:+None+,+behaviour+:+Bht_Sad_to_Neutral+,+Track+:++}""/>Wow, </usel><usel variant=""0"" genre=""motivational"">you sure read <mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_None+,+lifetime+:0,+category+:+None+,+behaviour+:+Bht_Sad_to_Neutral+,+Track+:++}""/>fast!<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_None+,+lifetime+:0,+category+:+None+,+behaviour+:+Bht_Sad_to_Neutral+,+Track+:++}""/></usel>",,"Wow, you sure read fast.",,
Bht_Wake_Up_Yawn,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:true,+action+:0,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Celebrate+,+lifetime+:0,+category+:+None+,+behaviour+:+Bht_Wake_Up_Yawn+,+Track+:++}""/><break time=""0.75s""/><mark name=""cmd:playaudio,data:{+SoundToPlay+:+sc_yawn_big_03+,+LoopSound+:false,+playInBackground+:false,+channel+:1,+ReplaceCurrentSound+:false,+PlayImmediate+:true,+ForceQueue+:false,+Volume+:1.0,+FadeInTime+:0.0,+FadeOutTime+:0.0,+AudioTimelineField+:+none+}""/><mark name=""cmd:playback-mood,data:{+mood+:1,+intensity+:0}""/><break time=""6s""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Question+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/><usel variant=""9"" genre=""question"">Hi! <break time=""0.4s""/></usel><usel variant=""5"" genre=""question""><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Point+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/>Do you want to play <mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_None+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/>with me?</usel><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_None+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/>",,[Yawning awake] Hi! Do you want to play with me?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Question+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:+talkingTree+}""/><usel variant=""1"" genre=""none"">Great! </usel><usel variant=""2"" genre=""none"">Let's get started!<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Self+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/><break time=""0.5s""/></usel><emphasis level=""reduced"">This mission is all about bedtime. <break time=""0.5s""/></emphasis><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Think+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/>What do you <usel variant=""0"" genre=""question"">do to get ready for <mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_None+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/>bed?<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_None+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/></usel>",,Great! Let’s get started. This mission is all about bedtime. What do you do to get ready for bed?,,
Bht_Hand_Holding,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Question+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/>Thank you for telling me about your day. <mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Talk+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/>Even if it<usel variant=""2"" genre=""intimate""> was a hard one.<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_None+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/><mark name=""cmd:playback-mood,data:{+mood+:0,+intensity+:0}""/></usel><break time=""1s""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Lower+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/>Sometimes, holding a friend's hand<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:4,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Self+,+lifetime+:0,+category+:+None+,+behaviour+:++,+Track+:++}""/> makes me feel better. <usel variant=""2"" genre=""question""><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+eventName+:+Gesture_Celebrate+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Hand_Holding+,+Track+:++}""/>Do you want to try squeezing my hand? </usel>",,"Thank you for telling me about your day. Even if it was a hard one. (beat) Sometimes, holding a friend’s hand makes me feel better. Do you want to try squeezing my hand?",,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><usel variant=""2"" genre=""none"">How have things been going?</usel>",,How have things been going?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><usel variant=""2"" genre=""none"">How have you been <usel variant=""5"" genre=""none"">lately?</usel></usel>",,How have you been lately?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><prosody pitch=""medium"" rate=""medium"" volume=""soft"">How have <emphasis level=""moderate"">things been</emphasis></prosody>since the last time we talked?",,How have things been since the last time we talked?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/>How has <emphasis level=""reduced"">school been</emphasis> since <usel variant=""2"" genre=""none"">I last saw you?</usel>",,How has school been since I last saw you?,,
Bht_Talking_Poses,"<mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:0,+variableName+:++,+variableValue+:++,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><mark name=""cmd:behaviour-tree,data:{+transition+:0.5,+duration+:1.0,+repeat+:1,+layerBlendInTime+:0.5,+layerBlendOutTime+:0.5,+blocking+:false,+action+:3,+variableName+:+gesture+,+variableValue+:+talk+,+lifetime+:0,+category+:+BehaviourTree+,+behaviour+:+Bht_Talking_Poses+,+Track+:++}""/><usel variant=""1"" genre=""none"">How have you been?</usel><usel variant=""2"" genre=""none""> I hope everything is alright.</usel>",,How have you been? I hope everything is alright.,,
